distance,lat,lon,place_id,status,time,geoid
160.979,40.0055359,-75.1089868,ChIJExyuxMy3xokRSpxkcKvhZ5g,OK,126,421010191005011
160.979,40.0055359,-75.1089868,ChIJExyuxMy3xokRSpxkcKvhZ5g,OK,126,421010191005011
524.337,40.0052732,-75.1028058,ChIJuY-d6zO2xokRZkZO4F5J6Pw,OK,404,421010191005011
210.169,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,163,421010152004009
210.169,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,163,421010152004009
801.632,39.9774856,-75.1728696,ChIJRa3Qe8HHxokRf_ojbw9RxrQ,OK,620,421010152004009
363.852,40.0055359,-75.1089868,ChIJExyuxMy3xokRSpxkcKvhZ5g,OK,280,421010191005000
363.852,40.0055359,-75.1089868,ChIJExyuxMy3xokRSpxkcKvhZ5g,OK,280,421010191005000
531.207,40.0052732,-75.1028058,ChIJuY-d6zO2xokRZkZO4F5J6Pw,OK,416,421010191005000
447.71,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,351,421010152004007
447.71,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,351,421010152004007
99999999,39.9774856,-75.1728696,ChIJRa3Qe8HHxokRf_ojbw9RxrQ,PATH_NOT_FOUND,99999999,421010152004007
211.803,40.0055359,-75.1089868,ChIJExyuxMy3xokRSpxkcKvhZ5g,OK,165,421010191005010
211.803,40.0055359,-75.1089868,ChIJExyuxMy3xokRSpxkcKvhZ5g,OK,165,421010191005010
458.135,40.0052732,-75.1028058,ChIJuY-d6zO2xokRZkZO4F5J6Pw,OK,353,421010191005010
140.463,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,114,421010149001000
140.463,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,114,421010149001000
644.065,39.98145900000001,-75.17920900000001,ChIJ2S29X5XHxokRVzAAPu3ciP4,OK,505,421010149001000
99999999,40.0616795,-75.2362163,ChIJwZllfzC5xokR1qWFHfNZg4c,PATH_NOT_FOUND,99999999,421010384001002
99999999,40.0616795,-75.2362163,ChIJwZllfzC5xokR1qWFHfNZg4c,PATH_NOT_FOUND,99999999,421010384001002
99999999,40.0610453,-75.23872849999999,ChIJ74ciUjC5xokRloy_F7pk5ns,PATH_NOT_FOUND,99999999,421010384001002
139.604,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,112,421010149001004
139.604,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,112,421010149001004
605.096,39.9774856,-75.1728696,ChIJRa3Qe8HHxokRf_ojbw9RxrQ,OK,470,421010149001004
99999999,40.0616795,-75.2362163,ChIJwZllfzC5xokR1qWFHfNZg4c,PATH_NOT_FOUND,99999999,421010384002000
99999999,40.0616795,-75.2362163,ChIJwZllfzC5xokR1qWFHfNZg4c,PATH_NOT_FOUND,99999999,421010384002000
99999999,40.0610453,-75.23872849999999,ChIJ74ciUjC5xokRloy_F7pk5ns,PATH_NOT_FOUND,99999999,421010384002000
112.827,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,92,421010148001007
112.827,39.9813731,-75.17309349999999,ChIJU8PsDerHxokRNP8CRC6Nflw,OK,92,421010148001007
631.874,39.9774856,-75.1728696,ChIJRa3Qe8HHxokRf_ojbw9RxrQ,OK,490,421010148001007
99999999,40.0610453,-75.23872849999999,ChIJ74ciUjC5xokRloy_F7pk5ns,PATH_NOT_FOUND,99999999,421010384002006
99999999,40.0610453,-75.23872849999999,ChIJ74ciUjC5xokRloy_F7pk5ns,PATH_NOT_FOUND,99999999,421010384002006
