distance,lat,lon,place_id,status,time,geoid
1283.004,30.2383157,-97.753365,ChIJnT6dzu-0RIYRiUhxZWBWWu4,OK,923758,484530023082000
1402.318,30.2394628,-97.753399,ChIJSQOnwu-0RIYRjkvrTfVeNBE,OK,1009663,484530023082000
1612.249,30.23736630000001,-97.754397,ChIJwc4rTu60RIYRb-W_1wlzEn4,OK,1160815,484530023082000
670.724,30.337447,-97.71729219999999,ChIJ4xDpqTfKRIYRgHCUP__KBD4,OK,482915,484530015033011
741.152,30.3294946,-97.71513809999999,ChIJfbFtcxbKRIYR4SemuPKN6HI,OK,533626,484530015033011
1406.005,30.322357,-97.71374999999999,ChIJnaCwFRbKRIYRLIeO2Xc4gN0,OK,1012315,484530015033011
1458.82,30.2383157,-97.753365,ChIJnT6dzu-0RIYRiUhxZWBWWu4,OK,1050342,484530023082012
1578.134,30.2394628,-97.753399,ChIJSQOnwu-0RIYRjkvrTfVeNBE,OK,1136247,484530023082012
1788.066,30.23736630000001,-97.754397,ChIJwc4rTu60RIYRb-W_1wlzEn4,OK,1287399,484530023082012
737.114,30.337447,-97.71729219999999,ChIJ4xDpqTfKRIYRgHCUP__KBD4,OK,530716,484530015033008
807.542,30.3294946,-97.71513809999999,ChIJfbFtcxbKRIYR4SemuPKN6HI,OK,581427,484530015033008
1647.512,30.322357,-97.71374999999999,ChIJnaCwFRbKRIYRLIeO2Xc4gN0,OK,1186199,484530015033008
2113.981,30.335616,-97.8043163,ChIJz1OqdCE1W4YRJ64naf4tY0Y,OK,1522060,484530019122018
2371.505,30.3347858,-97.80788460000001,ChIJLbUqzRg1W4YR_OkwLgsFuUo,OK,1707474,484530019122018
2622.127,30.338111,-97.8074776,ChIJ68wC-SE1W4YRB3xkQGYwbvw,OK,1887922,484530019122018
1551.258,30.2756701,-97.81712650000001,ChIJFVm9cpJKW4YRyGyzE9p4O4A,OK,1116896,484530019182006
1019.46,30.192028,-97.84504199999999,ChIJt0r1LHJMW4YROD5jNekOk1o,OK,734008,484530017293012
2214.667,30.2806438,-97.82379299999999,ChIJc-2UK49KW4YRseo7FCgqIII,OK,1594552,484530019182006
1307.309,30.207604,-97.84107729999999,ChIJm0xyN49LW4YRHB9hPJcMrmM,OK,941255,484530017293012
2354.791,30.28022290000001,-97.8233915,ChIJE5Ya0ohKW4YRoqqKWL70J0Q,OK,1695439,484530019182006
1985.495,30.185223,-97.84929969999999,ChIJsa7igmxMW4YRJ7rrD7tEB8U,OK,1429547,484530017293012
4265.167,30.3270526,-97.67644349999999,ChIJaVa54L_JRIYRT752TwBpNvg,OK,3070908,484530022023017
4308.883,30.31532099999999,-97.65417100000001,ChIJvdyCVy3IRIYRpxDEBmihsUg,OK,3102379,484530022023017
5239.592,30.333573,-97.6778367,ChIJI368N5bJRIYRz4S-I6qyiU8,OK,3772490,484530022023017
1788.638,30.2820786,-97.77558189999999,ChIJL-fBDU-1RIYR5gHFLTiPq7c,OK,1287815,484530016021000
