distance,lat,lon,place_id,status,time,geoid
3992.009,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,265865,180973210022051
4440.672,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,293107,180973210022051
4521.744,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,299356,180973210022051
4037.806,39.823044,-86.23965,ChIJzblTM8tXa4gRJtqqlWc6Oqk,OK,258779,180973405001001
4079.539,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,261033,180973405001001
4160.612,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,267282,180973405001001
3617.463,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,252813,180973501001004
3963.151,39.8246614,-86.1541352,ChIJiVV-BWhRa4gRtP9R1DgVXVo,OK,281500,180973501001004
4696.528,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,304329,180973501001004
3305.492,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,212070,180973501001001
3651.181,39.8246614,-86.1541352,ChIJiVV-BWhRa4gRtP9R1DgVXVo,OK,240757,180973501001001
4825.411,39.8074244,-86.15627909999999,ChIJq4whCD1Ra4gRnkV7MAPwqNA,OK,296720,180973501001001
2390.389,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,184145,180973406003007
3473.446,39.7748447,-86.20395809999999,ChIJ2bMrN21Xa4gRP3zHUfTX6pg,OK,220617,180973406003007
3827.58,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,248342,180973406003007
3729.359,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,239952,180973210022061
4178.022,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,267194,180973210022061
4075.048,39.8246614,-86.1541352,ChIJiVV-BWhRa4gRtP9R1DgVXVo,OK,268639,180973210022061
3187.984,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,232110,180973405001004
3956.657,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,256209,180973405001004
4014.615,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,258298,180973405001004
4306.533,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,300319,180973501001008
3843.219,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,312543,180973501001008
4714.682,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,324645,180973501001008
5247.916,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,300837,180973501001006
5590.477,39.8246614,-86.1541352,ChIJiVV-BWhRa4gRtP9R1DgVXVo,OK,323750,180973501001006
7258.316,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,432636,180973501001006
3214.475,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,250376,180973501001015
3983.148,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,274475,180973501001015
4041.106,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,276564,180973501001015
3157.653,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,271863,180973406001002
4408.298,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,316764,180973406001002
4466.255,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,318853,180973406001002
2402.256,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,174919,180973406002014
2837.306,39.7748447,-86.20395809999999,ChIJ2bMrN21Xa4gRP3zHUfTX6pg,OK,210548,180973406002014
3839.447,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,239116,180973406002014
2317.61,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,172688,180973406002012
2969.372,39.7748447,-86.20395809999999,ChIJ2bMrN21Xa4gRP3zHUfTX6pg,OK,221315,180973406002012
3754.801,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,236885,180973406002012
1444.886,39.7679045,-86.16525109999999,ChIJDQJ1ALpQa4gRT8XhEUhAOKU,OK,91250,180973564002006
1811.89,39.767512,-86.16140999999999,ChIJuxnGuLtQa4gRXnFf3IBiLmg,OK,128041,180973564002006
1820.004,39.76758489999999,-86.1614031,ChIJuxnGuLtQa4gRL_pvUuTVkog,OK,128691,180973564002006
4164.032,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,283218,180973405001017
3627.296,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,286632,180973405001017
4572.18,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,307544,180973405001017
3510.054,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,276838,180973501001046
4264.614,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,295287,180973501001046
4278.727,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,300937,180973501001046
3358.226,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,258619,180973405001023
4126.898,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,282718,180973405001023
4184.856,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,284807,180973405001023
4179.887,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,400069,180973405001024
4689.192,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,415264,180973405001024
4948.56,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,424168,180973405001024
3753.814,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,323380,180973501001012
4263.118,39.82457900000001,-86.157808,ChIJedgfIkNRa4gRodZ8MK67dGg,OK,338575,180973501001012
4522.486,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,347479,180973501001012
3274.192,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,257542,180973501001011
4042.865,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,281641,180973501001011
4100.822,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,283730,180973501001011
2645.459,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,186705,180973536003005
3414.132,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,210804,180973536003005
3472.089,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,212893,180973536003005
3428.118,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,276013,180973501001017
4196.79,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,300112,180973501001017
4370.726,39.8074244,-86.15627909999999,ChIJq4whCD1Ra4gRnkV7MAPwqNA,OK,305329,180973501001017
3039.741,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,219267,180973536003003
3644.343,39.8074244,-86.15627909999999,ChIJq4whCD1Ra4gRnkV7MAPwqNA,OK,228307,180973536003003
3808.413,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,243366,180973536003003
1036.065,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,96797,180973406005009
2473.256,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,160994,180973406005009
2531.213,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,163083,180973406005009
1906.593,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,142377,180973406002011
3343.784,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,206574,180973406002011
3401.742,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,208663,180973406002011
948.608,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,94415,180973406005005
2385.799,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,158612,180973406005005
2443.756,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,160701,180973406005005
1302.553,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,120006,180973406005007
2739.744,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,184203,180973406005007
2797.702,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,186292,180973406005007
2100.261,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,168869,180973406004000
3451.147,39.7748447,-86.20395809999999,ChIJ2bMrN21Xa4gRP3zHUfTX6pg,OK,223347,180973406004000
3537.452,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,233066,180973406004000
2023.073,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,159606,180973406004001
3373.959,39.7748447,-86.20395809999999,ChIJ2bMrN21Xa4gRP3zHUfTX6pg,OK,214084,180973406004001
3460.264,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,223803,180973406004001
1630.414,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,144278,180973406005015
3067.605,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,208475,180973406005015
3125.563,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,210564,180973406005015
1388.442,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,127975,180973406005013
2825.633,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,192172,180973406005013
2883.59,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,194261,180973406005013
1606.923,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,141459,180973406005016
3044.113,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,205656,180973406005016
3102.071,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,207745,180973406005016
2032.392,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,163532,180973406002001
3469.583,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,227729,180973406002001
3527.541,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,229818,180973406002001
1752.033,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,133107,180973407003011
3189.224,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,197304,180973407003011
3247.182,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,199393,180973407003011
1885.841,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,149295,180973406002004
3323.032,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,213492,180973406002004
3380.989,39.8188685,-86.23058619999999,ChIJVwkYk2lWa4gROimSLDpVTa8,OK,215581,180973406002004
1522.89,39.8066312,-86.220236,ChIJbfNJr1BWa4gRyDkZMR6nJmw,OK,131375,180973406005012
2960.08,39.81889499999999,-86.229203,ChIJ1YunhEJWa4gRR62f4-Ifz5Q,OK,195572,180973406005012
