distance,lat,lon,place_id,status,time,geoid
1508.275,30.3084166,-81.7448722,ChIJJ1ThpPy45YgR6fYCVZT81Q4,OK,1085953,120310121001119
1508.275,30.3084166,-81.7448722,ChIJJ1ThpPy45YgR6fYCVZT81Q4,OK,1085953,120310121001119
1720.677,30.3126004,-81.7524299,ChIJo1uARcxJ5IgRvxHZvLHXvK8,OK,1238880,120310121001119
1427.896,30.3084166,-81.7448722,ChIJJ1ThpPy45YgR6fYCVZT81Q4,OK,1028081,120310121001120
1427.896,30.3084166,-81.7448722,ChIJJ1ThpPy45YgR6fYCVZT81Q4,OK,1028081,120310121001120
1640.297,30.3126004,-81.7524299,ChIJo1uARcxJ5IgRvxHZvLHXvK8,OK,1181008,120310121001120
1615.776,30.3205007,-81.72714599999999,ChIJlQxU_q655YgRajTsltSSYds,OK,1163351,120310121001042
1704.572,30.3084166,-81.7448722,ChIJJ1ThpPy45YgR6fYCVZT81Q4,OK,1227285,120310121001042
1704.572,30.3084166,-81.7448722,ChIJJ1ThpPy45YgR6fYCVZT81Q4,OK,1227285,120310121001042
850.724,30.338487,-81.733266,ChIJz6zHUp655YgRrWMt18ISdv8,OK,612517,120310118002004
850.724,30.338487,-81.733266,ChIJz6zHUp655YgRrWMt18ISdv8,OK,612517,120310118002004
1496.925,30.3252471,-81.7341517,ChIJ4VXt7ae55YgRsHaQ7UnLkl8,OK,1077780,120310118002004
3653.711,30.2847576,-81.45802399999999,ChIJz5y_Sk9K5IgRVeETs2q_7os,OK,2630645,120310143321026
3653.711,30.2847576,-81.45802399999999,ChIJz5y_Sk9K5IgRVeETs2q_7os,OK,2630645,120310143321026
5010.879,30.31965940000001,-81.459721,ChIJMQddEJhL5IgRPRww0cCjau0,OK,3607811,120310143321026
4785.269,30.248866,-81.77014699999999,ChIJW7asU0jH5YgRPeVJupptGv0,OK,3445375,120310137262009
4785.269,30.248866,-81.77014699999999,ChIJW7asU0jH5YgRPeVJupptGv0,OK,3445375,120310137262009
5051.704,30.19792350000001,-81.8271633,ChIJQQAlHZzB5YgRCd20FeHEwfs,OK,3637204,120310137262009
1456.513,30.31965940000001,-81.459721,ChIJMQddEJhL5IgRPRww0cCjau0,OK,1048679,120310143321008
1456.513,30.31965940000001,-81.459721,ChIJMQddEJhL5IgRPRww0cCjau0,OK,1048679,120310143321008
1511.317,30.32088800000001,-81.460551,ChIJefdrf5dL5IgROjNShzizt7w,OK,1088137,120310143321008
1681.542,30.31965940000001,-81.459721,ChIJMQddEJhL5IgRPRww0cCjau0,OK,1210698,120310143321014
1681.542,30.31965940000001,-81.459721,ChIJMQddEJhL5IgRPRww0cCjau0,OK,1210698,120310143321014
1734.227,30.32088800000001,-81.460551,ChIJefdrf5dL5IgROjNShzizt7w,OK,1248627,120310143321014
1749.868,30.31965940000001,-81.459721,ChIJMQddEJhL5IgRPRww0cCjau0,OK,1259895,120310143321006
1749.868,30.31965940000001,-81.459721,ChIJMQddEJhL5IgRPRww0cCjau0,OK,1259895,120310143321006
1804.673,30.32088800000001,-81.460551,ChIJefdrf5dL5IgROjNShzizt7w,OK,1299353,120310143321006
1401.563,30.3252471,-81.7341517,ChIJ4VXt7ae55YgRsHaQ7UnLkl8,OK,1009121,120310118003072
1401.563,30.3252471,-81.7341517,ChIJ4VXt7ae55YgRsHaQ7UnLkl8,OK,1009121,120310118003072
