distance,lat,lon,place_id,status,time,geoid
448.117,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,322642,471570215101021
448.117,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,322642,471570215101021
706.932,35.0499388,-89.79570819999999,ChIJg2YBP22af4gRwcvsMYTYI_k,OK,508988,471570215101021
1316.428,35.07477759999999,-89.884241,ChIJWcoMiwaFf4gRBnCGq5jEazY,OK,947824,471570217101013
1316.428,35.07477759999999,-89.884241,ChIJWcoMiwaFf4gRBnCGq5jEazY,OK,947824,471570217101013
3479.083,35.04962199999999,-89.868039,ChIJUwv3D0OFf4gRYROMAyN2dqU,OK,2504914,471570217101013
637.47,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,458975,471570215101012
637.47,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,458975,471570215101012
1380.789,35.055935,-89.78608899999999,ChIJibj0OBeaf4gRkInpohzkOFs,OK,994163,471570215101012
3891.992,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,2802218,471570215102001
3891.992,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,2802218,471570215102001
5818.02,35.055935,-89.78608899999999,ChIJibj0OBeaf4gRkInpohzkOFs,OK,4188952,471570215102001
1566.113,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,1127595,471570215101032
1566.113,35.04782,-89.79473899999999,ChIJg9toxHKaf4gRl6HwuVHHP-c,OK,1127595,471570215101032
1824.927,35.0499388,-89.79570819999999,ChIJg2YBP22af4gRwcvsMYTYI_k,OK,1313941,471570215101032
994.471,35.05141499999999,-89.93865099999999,ChIJ8b9NBDXPw4kR6QLjC0cLLa0,OK,716016,471570226001036
1056.443,35.0490827,-89.93455639999999,ChIJKWSPTAWGf4gR_Sj7PqKtGDI,OK,760632,471570226001036
1056.443,35.0490827,-89.93455639999999,ChIJKWSPTAWGf4gR_Sj7PqKtGDI,OK,760632,471570226001036
2808.706,35.22035160000001,-89.92542979999999,ChIJbSdlVVN_f4gR-xtjzeMPCvI,OK,2022262,471570205123001
2808.706,35.22035160000001,-89.92542979999999,ChIJbSdlVVN_f4gR-xtjzeMPCvI,OK,2022262,471570205123001
