distance,lat,lon,place_id,status,time,geoid
440.902,32.7197182,-117.1684562,ChIJpZSkPaxU2YARBIoo7Nc0fLs,OK,30169,060730056001030
453.505,32.720056,-117.167988,ChIJGzR6JKxU2YARHn3ZxyYMLBw,OK,30925,060730056001030
483.961,32.7193677,-117.1643054,ChIJbYCFLK9U2YARNb3tLc8KAt4,OK,32301,060730056001030
518.232,32.7193677,-117.1643054,ChIJbYCFLK9U2YARNb3tLc8KAt4,OK,37136,060730056001029
519.988,32.7197182,-117.1684562,ChIJpZSkPaxU2YARBIoo7Nc0fLs,OK,37629,060730056001029
532.591,32.720056,-117.167988,ChIJGzR6JKxU2YARHn3ZxyYMLBw,OK,38385,060730056001029
518.222,32.7193677,-117.1643054,ChIJbYCFLK9U2YARNb3tLc8KAt4,OK,37135,060730056001022
532.581,32.720056,-117.167988,ChIJGzR6JKxU2YARHn3ZxyYMLBw,OK,38384,060730056001022
629.072,32.718141,-117.1623659,ChIJLbW8mahU2YARioRdaJ7fpGQ,OK,47245,060730056001022
319.768,32.7193677,-117.1643054,ChIJbYCFLK9U2YARNb3tLc8KAt4,OK,21766,060730056001021
493.079,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,30376,060730056001021
430.618,32.718141,-117.1623659,ChIJLbW8mahU2YARioRdaJ7fpGQ,OK,31876,060730056001021
323.247,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,20874,060730056001020
260.786,32.718141,-117.1623659,ChIJLbW8mahU2YARioRdaJ7fpGQ,OK,22374,060730056001020
452.687,32.7187267,-117.1613247,ChIJy9JSH6ZU2YAR1jJZ_1BcEbU,OK,27843,060730056001020
278.474,32.7187267,-117.1613247,ChIJy9JSH6ZU2YAR1jJZ_1BcEbU,OK,18254,060730056001012
328.81,32.7181159,-117.1597277,ChIJ63FZTqZU2YARkpd0Xb-S_2s,OK,21777,060730056001012
362.426,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,31535,060730056001012
63.614,32.7222463,-117.1604817,ChIJg4WpmaVU2YARbDlvd5kQpXk,OK,3451,060730056001001
126.075,32.7221823,-117.1605552,ChIJg4WpmaVU2YARORht79Lpzc0,OK,8536,060730056001001
230.849,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,13727,060730056001001
78.437,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,4949,060730056001011
353.735,32.7182732,-117.1606343,ChIJSx6QOKZU2YARXHHQbBNCrUk,OK,21220,060730056001011
396.926,32.7187267,-117.1613247,ChIJy9JSH6ZU2YAR1jJZ_1BcEbU,OK,23811,060730056001011
79.265,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,4998,060730056001010
354.563,32.7182732,-117.1606343,ChIJSx6QOKZU2YARXHHQbBNCrUk,OK,21269,060730056001010
397.754,32.7187267,-117.1613247,ChIJy9JSH6ZU2YAR1jJZ_1BcEbU,OK,23860,060730056001010
407.897,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,31333,060730056001015
575.501,32.7222463,-117.1604817,ChIJg4WpmaVU2YARbDlvd5kQpXk,OK,34521,060730056001015
637.963,32.7221823,-117.1605552,ChIJg4WpmaVU2YARORht79Lpzc0,OK,39606,060730056001015
381.235,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,26728,060730056001019
436.621,32.7193677,-117.1643054,ChIJbYCFLK9U2YARNb3tLc8KAt4,OK,28776,060730056001019
739.372,32.7187267,-117.1613247,ChIJy9JSH6ZU2YAR1jJZ_1BcEbU,OK,44355,060730056001019
380.642,32.7210382,-117.1604219,ChIJ6SXa6aVU2YARFyy9q5MvsYU,OK,26692,060730056001023
