distance,lat,lon,place_id,status,time,geoid
2858.955,37.2801231,-121.840465,ChIJrZFSwkYyjoARJWRuVShoDwg,OK,2058423,060855031151033
2858.955,37.2801231,-121.840465,ChIJrZFSwkYyjoARJWRuVShoDwg,OK,2058423,060855031151033
3679.743,37.27588600000001,-121.8540368,ChIJLXyi5UoyjoARfBSVXbrKwf0,OK,2649378,060855031151033
1514.749,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1090606,060855031122000
1514.749,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1090606,060855031122000
1564.002,37.3324456,-121.8560384,ChIJaV7zeCrNj4ARaqJAfyCvJQI,OK,1126067,060855031122000
1479.198,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,1065009,060855031122001
1572.475,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1132166,060855031122001
1572.475,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1132166,060855031122001
1021.752,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,735649,060855031122009
1021.752,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,735649,060855031122009
1106.261,37.311241,-121.8682902,ChIJ58q9vyIzjoARIDiAzdZnvv0,OK,796498,060855031122009
572.697,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,412333,060855031122008
572.697,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,412333,060855031122008
1693.286,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1219154,060855031122008
782.777,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,563588,060855031122007
782.777,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,563588,060855031122007
1486.991,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1070615,060855031122007
895.906,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,645038,060855031122006
895.906,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,645038,060855031122006
1570.232,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1130554,060855031122006
1122.381,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,808097,060855031122004
1122.381,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,808097,060855031122004
1829.502,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1317221,060855031122004
1233.619,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,888185,060855031122003
1233.619,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,888185,060855031122003
1541.92,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1110163,060855031122003
1253.448,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,902460,060855031122002
1253.448,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,902460,060855031122002
1518.089,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1093007,060855031122002
1264.537,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,910442,060855031121012
1264.537,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,910442,060855031121012
1477.915,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1064086,060855031121012
1241.206,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,893646,060855031121011
1241.206,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,893646,060855031121011
1907.009,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1373026,060855031121011
782.62,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,563476,060855031121014
782.62,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,563476,060855031121014
1298.206,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,934695,060855031121014
723.947,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,521233,060855031121007
723.947,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,521233,060855031121007
1357.706,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,977539,060855031121007
1020.863,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,735006,060855031121005
1020.863,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,735006,060855031121005
1331.692,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,958807,060855031121005
1094.33,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,787899,060855031121004
1094.33,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,787899,060855031121004
1399.813,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1007853,060855031121004
1291.8,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,930084,060855031121003
1291.8,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,930084,060855031121003
1447.942,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1042504,060855031121003
1406.342,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,1012555,060855031121002
1406.342,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,1012555,060855031121002
1490.707,37.3326413,-121.8800941,ChIJRbSQHbjMj4ARWG828X6spho,OK,1073292,060855031121002
1514.589,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,1090492,060855031121001
1514.589,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,1090492,060855031121001
1570.375,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1130658,060855031121001
1457.198,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,1049155,060855031121000
1457.198,37.321059,-121.878264,ChIJB8XNgjUzjoARKHLhkH5HuOc,OK,1049155,060855031121000
1460.801,37.3323796,-121.8562635,ChIJ0bj6lyrNj4AR7vn08cfFdOc,OK,1051767,060855031121000
363.824,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,261950,060855002001005
363.824,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,261950,060855002001005
435.877,37.3526664,-121.9039073,ChIJd_Lrun_Lj4ARvBkhApfUcEY,OK,313823,060855002001005
282.094,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,203102,060855002001008
282.094,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,203102,060855002001008
286.856,37.3526664,-121.9039073,ChIJd_Lrun_Lj4ARvBkhApfUcEY,OK,206530,060855002001008
561.723,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,404435,060855002001007
561.723,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,404435,060855002001007
566.485,37.3526664,-121.9039073,ChIJd_Lrun_Lj4ARvBkhApfUcEY,OK,407863,060855002001007
812.693,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,585135,060855002001000
812.693,37.35333,-121.903006,ChIJKc9NlX_Lj4ARwwO9_1lMh20,OK,585135,060855002001000
884.747,37.3526664,-121.9039073,ChIJd_Lrun_Lj4ARvBkhApfUcEY,OK,637008,060855002001000
