distance,lat,lon,place_id,status,time,geoid
883.627,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,631000,250259811001068
896.132,42.283762,-71.11151,ChIJpz6A77J-44kRmteuI_6b6Ck,OK,640000,250259811001068
1759.802,42.2843117,-71.0912198,ChIJvY_HKvl744kRasHKsffBjwM,OK,1256000,250259811001068
1661.36,42.2906973,-71.0719152,ChIJBZ1lH5N744kRcpi2snde-40,OK,545000,250251001006001
1159.538,42.2843117,-71.0912198,ChIJvY_HKvl744kRasHKsffBjwM,OK,701000,250251001006001
1232.783,42.3036508,-71.0848045,ChIJk_1zScN744kR-VzczvZ2c1U,OK,836000,250251001006001
453.315,42.2992699,-71.0644869,ChIJfUJr-Lx744kRWs4NSRi2Xpg,OK,321000,250250920004004
575.86,42.2986037,-71.0632994,ChIJp5keJr1744kRtNVo-FJ_epI,OK,408000,250250920004004
1309.138,42.3051006,-71.0799431,ChIJpf7KI8R744kRcJlr_u8PSxs,OK,590000,250250920004004
482.589,42.329617,-71.052875,ChIJkXMQAl9644kR75hoCkxoi1M,OK,343000,250250608004018
2754.657,42.3210414,-71.061732,ChIJ7aJ831F644kRUKpizar9ClA,OK,1258000,250250608004018
2752.602,42.3210048,-71.0617655,ChIJmUl4IU5644kRgt8e0MYdJMw,OK,1258000,250250608004018
571.997,42.2695254,-71.0941223,ChIJM94JSxx844kR93GGWoma7Dc,OK,419000,250251010023021
572.596,42.2695308,-71.0941229,ChIJSQZNSRx844kR4XiChBBrfl4,OK,419000,250251010023021
2228.298,42.2843117,-71.0912198,ChIJvY_HKvl744kRasHKsffBjwM,OK,719000,250251010023021
923.741,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,660000,250259811001084
936.246,42.283762,-71.11151,ChIJpz6A77J-44kRmteuI_6b6Ck,OK,669000,250259811001084
1998.724,42.2695308,-71.0941229,ChIJSQZNSRx844kR4XiChBBrfl4,OK,1423000,250259811001084
797.596,42.3593837,-71.0565553,ChIJH9CZLYRw44kRYeFlizr6LRg,OK,556000,250250302001004
2873.939,42.3691402,-71.0391957,ChIJrfBBFV1w44kRQAcYBqOz2mA,OK,849000,250250302001004
3622.508,42.3756567,-71.0392973,ChIJFRPp3Fpw44kRwDxBp4nhOiE,OK,1269000,250250302001004
2116.82,42.2992699,-71.0644869,ChIJfUJr-Lx744kRWs4NSRi2Xpg,OK,408000,250251007001006
1849.838,42.2906973,-71.0719152,ChIJBZ1lH5N744kRcpi2snde-40,OK,1196000,250251007001006
3592.443,42.3051006,-71.0799431,ChIJpf7KI8R744kRcJlr_u8PSxs,OK,1376000,250251007001006
2297.104,42.3593837,-71.0565553,ChIJH9CZLYRw44kRYeFlizr6LRg,OK,1018000,250250404012030
4272.142,42.3691402,-71.0391957,ChIJrfBBFV1w44kRQAcYBqOz2mA,OK,1018000,250250404012030
3382.063,42.3794997,-71.095802,ChIJF70I4cpw44kRRBDaAhz5v2E,OK,1258000,250250404012030
587.886,42.3154203,-71.0984544,ChIJp6KH7n1544kRbX0RcnH0ApI,OK,418000,250250813002009
588.712,42.3154424,-71.0983532,ChIJVSfo7X1544kRw6fcfR5j-w8,OK,419000,250250813002009
687.598,42.3147023,-71.0991743,ChIJo0NRAH1544kRu_GRva-tdig,OK,489000,250250813002009
943.813,42.283762,-71.11151,ChIJpz6A77J-44kRmteuI_6b6Ck,OK,675000,250251103012000
956.318,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,684000,250251103012000
1783.148,42.3000675,-71.1132924,ChIJ21gsikN544kRzUYwvI-q_q8,OK,897000,250251103012000
1883.378,42.3224369,-71.1077546,ChIJU5gbDXh544kRQDk1C_U5Lnc,OK,1334000,250251201053019
1880.684,42.3000675,-71.1132924,ChIJ21gsikN544kRzUYwvI-q_q8,OK,1345000,250251201053019
3547.477,42.3304325,-71.1145137,ChIJqQSe2pt544kRXOMuzqJb1tI,OK,1379000,250251201053019
3145.365,42.3691402,-71.0391957,ChIJrfBBFV1w44kRQAcYBqOz2mA,OK,951000,250250509013000
1725.92,42.3888947,-71.0405277,ChIJj_t6HK1x44kR41enTtPNF1Y,OK,1231000,250250509013000
1725.92,42.3888947,-71.0405277,ChIJ_Xl6HK1x44kRCw5oNLqMCx0,OK,1231000,250250509013000
608.799,42.2992699,-71.0644869,ChIJfUJr-Lx744kRWs4NSRi2Xpg,OK,433000,250250920003002
1112.806,42.3051006,-71.0799431,ChIJpf7KI8R744kRcJlr_u8PSxs,OK,450000,250250920003002
731.344,42.2986037,-71.0632994,ChIJp5keJr1744kRtNVo-FJ_epI,OK,520000,250250920003002
732.63,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,523000,250259811001082
745.136,42.283762,-71.11151,ChIJpz6A77J-44kRmteuI_6b6Ck,OK,532000,250259811001082
