distance,lat,lon,place_id,status,time,geoid
242.049,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,209,421010080001001
242.049,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,209,421010080001001
643.314,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,520,421010080001001
283.315,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,219,421010085003004
283.315,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,219,421010085003004
514.485,39.9533367,-75.2171128,ChIJL2oL4e7GxokRbO-eCIPbasc,OK,393,421010085003004
283.31,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,219,421010085003003
283.31,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,219,421010085003003
99999999,39.9596353,-75.2251864,ChIJg56dZN3GxokRVsWbFmiKUEM,PATH_NOT_FOUND,99999999,421010085003003
433.784,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,343,421010080001000
433.784,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,343,421010080001000
719.438,39.9533367,-75.2171128,ChIJL2oL4e7GxokRbO-eCIPbasc,OK,554,421010080001000
483.976,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,379,421010080002000
483.976,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,379,421010080002000
700.436,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,574,421010080002000
402.67,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,317,421010080002003
402.67,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,317,421010080002003
781.858,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,636,421010080002003
440.5,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,369,421010080001003
440.5,39.9543801,-75.2263344,ChIJe4JTXMLGxokRrODMbTEDj0I,OK,369,421010080001003
744.27,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,577,421010080001003
441.186,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,346,421010081012009
441.186,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,346,421010081012009
525.354,39.9480969,-75.2414476,ChIJCbnmDLbGxokR0-FI9pSRo7A,OK,414,421010081012009
498.762,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,390,421010072006000
498.762,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,390,421010072006000
776.28,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,600,421010072006000
494.335,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,387,421010072006002
494.335,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,387,421010072006002
771.853,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,597,421010072006002
544.383,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,423,421010081011005
544.383,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,423,421010081011005
706.437,39.9480969,-75.2414476,ChIJCbnmDLbGxokR0-FI9pSRo7A,OK,551,421010081011005
466.924,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,366,421010072006008
466.924,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,366,421010072006008
637.915,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,502,421010072006008
465.095,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,362,421010072001002
465.095,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,362,421010072001002
512.125,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,406,421010072001002
375.865,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,294,421010072001001
375.865,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,294,421010072001001
601.513,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,474,421010072001001
467.329,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,367,421010072006007
467.329,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,367,421010072006007
637.51,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,502,421010072006007
375.107,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,292,421010072005006
375.107,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,292,421010072005006
99999999,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,PATH_NOT_FOUND,99999999,421010072005006
288.473,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,226,421010072001000
288.473,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,226,421010072001000
757.413,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,591,421010072001000
567.389,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,447,421010072006006
567.389,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,447,421010072006006
734.9,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,579,421010072006006
548.785,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,436,421010072002003
548.785,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,436,421010072002003
654.249,39.9413775,-75.2329146,ChIJwQ2EsbvGxokR_zx0FOxBBB0,OK,509,421010072002003
593.033,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,460,421010081011007
593.033,39.9461187,-75.24004069999999,ChIJb-778LbGxokRYAyTnIija6U,OK,460,421010081011007
637.795,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,498,421010081011007
452.476,39.9474911,-75.22758739999999,ChIJdSbLh7_GxokRY5Bzc4NQ0TQ,OK,355,421010081011008
