distance,lat,lon,place_id,status,time,geoid
891.688,42.2695254,-71.0941223,ChIJM94JSxx844kR93GGWoma7Dc,OK,70559,250251010023021
892.287,42.2695308,-71.0941229,ChIJSQZNSRx844kR4XiChBBrfl4,OK,70592,250251010023021
2871.197,42.2843117,-71.0912198,ChIJvY_HKvl744kRasHKsffBjwM,OK,181510,250251010023021
1981.287,42.3593837,-71.0565553,ChIJH9CZLYRw44kRYeFlizr6LRg,OK,106366,250250404012030
3856.653,42.3756567,-71.0392973,ChIJFRPp3Fpw44kRwDxBp4nhOiE,OK,171029,250250404012030
4379.346,42.3691402,-71.0391957,ChIJrfBBFV1w44kRQAcYBqOz2mA,OK,213824,250250404012030
883.627,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,135343,250259811001068
896.132,42.283762,-71.11151,ChIJpz6A77J-44kRmteuI_6b6Ck,OK,136843,250259811001068
2018.124,42.2843117,-71.0912198,ChIJvY_HKvl744kRasHKsffBjwM,OK,228200,250259811001068
1732.703,42.3888947,-71.0405277,ChIJj_t6HK1x44kR41enTtPNF1Y,OK,108334,250250509013000
1732.703,42.3888947,-71.0405277,ChIJ_Xl6HK1x44kRCw5oNLqMCx0,OK,108334,250250509013000
2084.75,42.3756567,-71.0392973,ChIJFRPp3Fpw44kRwDxBp4nhOiE,OK,125074,250250509013000
1465.36,42.3224369,-71.1077546,ChIJU5gbDXh544kRQDk1C_U5Lnc,OK,110683,250259818001047
1644.744,42.3304325,-71.1145137,ChIJqQSe2pt544kRXOMuzqJb1tI,OK,118412,250259818001047
1981.201,42.3227069,-71.1016502,ChIJMVklwIF544kRdv28xEYSqp4,OK,163735,250259818001047
923.741,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,136771,250259811001084
936.246,42.283762,-71.11151,ChIJpz6A77J-44kRmteuI_6b6Ck,OK,138271,250259811001084
2487.242,42.2695254,-71.0941223,ChIJM94JSxx844kR93GGWoma7Dc,OK,205448,250259811001084
1034.337,42.2843117,-71.0912198,ChIJvY_HKvl744kRasHKsffBjwM,OK,57279,250251001006001
1702.869,42.3036508,-71.0848045,ChIJk_1zScN744kR-VzczvZ2c1U,OK,95412,250251001006001
1702.869,42.3036508,-71.0848045,ChIJCUrJSMN744kR8g5yKjMNmLE,OK,95412,250251001006001
1007.54,42.3888947,-71.0405277,ChIJj_t6HK1x44kR41enTtPNF1Y,OK,64312,250251601013014
1007.54,42.3888947,-71.0405277,ChIJ_Xl6HK1x44kRCw5oNLqMCx0,OK,64312,250251601013014
2182.923,42.3756567,-71.0392973,ChIJFRPp3Fpw44kRwDxBp4nhOiE,OK,130964,250251601013014
2495.061,42.3593837,-71.0565553,ChIJH9CZLYRw44kRYeFlizr6LRg,OK,173197,250250404012028
3300.656,42.3794997,-71.095802,ChIJF70I4cpw44kRRBDaAhz5v2E,OK,221821,250250404012028
4383.679,42.3756567,-71.0392973,ChIJFRPp3Fpw44kRwDxBp4nhOiE,OK,237820,250250404012028
1368.822,42.3000675,-71.1132924,ChIJ21gsikN544kRzUYwvI-q_q8,OK,126795,250251103012000
1537.457,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,162370,250251103012000
1549.963,42.283762,-71.11151,ChIJpz6A77J-44kRmteuI_6b6Ck,OK,163870,250251103012000
732.63,42.2836099,-71.1116615,ChIJh_T43rJ-44kRZrhG_jKVbrE,OK,102372,250259811001082
