distance,lat,lon,place_id,status,time,geoid
2141.02,32.734475,-96.657224,ChIJRQ6w7KWkToYRNscXDVr0ZVg,OK,1541525,481130118003029
2141.02,32.734475,-96.657224,ChIJRQ6w7KWkToYRNscXDVr0ZVg,OK,1541525,481130118003029
2950.83,32.720202,-96.621234,ChIJizNSdCq7ToYRIcHtpjz9Jnc,OK,2124586,481130118003029
6668.874,32.648147,-96.53493399999999,ChIJK_01eCmxToYRsoKkePQSrd4,OK,4801564,481130170043011
6668.874,32.648147,-96.53493399999999,ChIJK_01eCmxToYRsoKkePQSrd4,OK,4801564,481130170043011
8605.126,32.732752,-96.6143213,ChIJef_iMy-lToYRZvOAIiOo7Ro,OK,6195661,481130170043011
1467.314,32.734475,-96.657224,ChIJRQ6w7KWkToYRNscXDVr0ZVg,OK,1056458,481130119004005
1467.314,32.734475,-96.657224,ChIJRQ6w7KWkToYRNscXDVr0ZVg,OK,1056458,481130119004005
3036.299,32.7338337,-96.67392049999999,ChIJ2zSqyVqjToYRrEWJ98I-C48,OK,2186121,481130119004005
6362.118,32.648147,-96.53493399999999,ChIJK_01eCmxToYRsoKkePQSrd4,OK,4580698,481130170042006
6362.118,32.648147,-96.53493399999999,ChIJK_01eCmxToYRsoKkePQSrd4,OK,4580698,481130170042006
8496.024,32.732752,-96.6143213,ChIJef_iMy-lToYRZvOAIiOo7Ro,OK,6117106,481130170042006
1475.396,32.6966259,-96.7944457,ChIJZW0ax3WXToYRjxcT3NVH_5A,OK,1062281,481130059014006
1665.068,32.68267700000001,-96.805972,ChIJgxTt8BCXToYRFOnS-d0yNvw,OK,1198841,481130059014006
1665.068,32.68267700000001,-96.805972,ChIJgxTt8BCXToYRFOnS-d0yNvw,OK,1198841,481130059014006
2122.239,32.7124807,-96.68970329999999,ChIJXRl5CdyiToYRgYQcIPDcNmk,OK,1527999,481130117013011
2122.239,32.7124807,-96.68970329999999,ChIJXRl5CdyiToYRgYQcIPDcNmk,OK,1527999,481130117013011
2126.211,32.7099886,-96.6745042,ChIJq6qqqrq8ToYRCYgAt6amtF8,OK,1530864,481130117013011
1133.083,32.734475,-96.657224,ChIJRQ6w7KWkToYRNscXDVr0ZVg,OK,815811,481130118002006
