distance,lat,lon,place_id,status,time,geoid
4268.323,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,3073159,060730089022003
4343.936,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,3127600,060730089022003
5883.525,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,4236096,060730089022003
4225.043,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,3041998,060730089022002
4647.793,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,3346375,060730089022002
5569.418,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,4009941,060730089022002
3682.827,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,2651612,060730089021000
4713.127,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,3393421,060730089021000
5250.415,32.7549816,-117.1299896,ChIJ9wPftvlU2YARZX4UWOt8P0I,OK,3780266,060730089021000
4010.749,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,2887714,060730089021004
4657.27,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,3353199,060730089021004
5177.917,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,3728074,060730089021004
4145.892,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,2985016,060730089022000
5313.06,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,3825376,060730089022000
5850.349,32.7549816,-117.1299896,ChIJ9wPftvlU2YARZX4UWOt8P0I,OK,4212221,060730089022000
5667.28,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,4080389,060730071003008
6044.868,32.7503616,-117.2132641,ChIJVUdg6_uq3oARYalAmR3orFQ,OK,4352267,060730071003008
8981.635,32.71528500000001,-117.159863,ChIJx9eSi6dU2YARUpLQWgSoEK8,OK,6466719,060730071003008
4315.903,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,3107420,060730089014001
4997.981,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,3598508,060730089014001
5348.559,32.8085206,-117.1608486,ChIJG5fwZuX_24ARsxKjVnOQVus,OK,3850936,060730089014001
7840.657,32.7503616,-117.2132641,ChIJVUdg6_uq3oARYalAmR3orFQ,OK,5645237,060730099011025
8520.178,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,6134464,060730099011025
11956.303,32.71528500000001,-117.159863,ChIJx9eSi6dU2YARUpLQWgSoEK8,OK,8608463,060730099011025
7682.124,32.7503616,-117.2132641,ChIJVUdg6_uq3oARYalAmR3orFQ,OK,5531092,060730099011028
8361.644,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,6020319,060730099011028
11797.769,32.71528500000001,-117.159863,ChIJx9eSi6dU2YARUpLQWgSoEK8,OK,8494318,060730099011028
4376.151,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,3150798,060730088003009
4740.616,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,3413207,060730088003009
5242.443,32.8085206,-117.1608486,ChIJG5fwZuX_24ARsxKjVnOQVus,OK,3774533,060730088003009
394.257,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,283862,060730010004000
932.334,32.7549816,-117.1299896,ChIJ9wPftvlU2YARZX4UWOt8P0I,OK,671274,060730010004000
1762.594,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,1269055,060730010004000
4100.547,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,2952350,060730089013008
4798.619,32.793886,-117.1927541,ChIJDQ4c3h4A3IAR51Ekdw-_yu0,OK,3454979,060730089013008
4871.841,32.794573,-117.1946785,ChIJB04PIh8A3IARwobfMyle-n4,OK,3507699,060730089013008
4097.43,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,2950106,060730089013009
4795.502,32.793886,-117.1927541,ChIJDQ4c3h4A3IAR51Ekdw-_yu0,OK,3452735,060730089013009
4868.725,32.794573,-117.1946785,ChIJB04PIh8A3IARwobfMyle-n4,OK,3505455,060730089013009
5401.213,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,3888839,060730089013003
5916.927,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,4260146,060730089013003
6288.17,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,4527438,060730089013003
5109.044,32.8085206,-117.1608486,ChIJG5fwZuX_24ARsxKjVnOQVus,OK,3678485,060730089013002
5469.086,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,3937708,060730089013002
5984.8,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,4309015,060730089013002
4622.883,32.7492669,-117.1515474,ChIJYSPlNd1U2YARBh5_7bB3ves,OK,3328444,060730089013000
4840.548,32.8085206,-117.1608486,ChIJG5fwZuX_24ARsxKjVnOQVus,OK,3485170,060730089013000
5138.597,32.7557703,-117.1347986,ChIJw2IhpPtU2YARka9UnEe0r6o,OK,3699751,060730089013000
4650.025,32.8085206,-117.1608486,ChIJG5fwZuX_24ARsxKjVnOQVus,OK,3347989,060730089012005
4801.07,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,3456723,060730089012005
5499.142,32.793886,-117.1927541,ChIJDQ4c3h4A3IAR51Ekdw-_yu0,OK,3959352,060730089012005
4328.687,32.8085206,-117.1608486,ChIJG5fwZuX_24ARsxKjVnOQVus,OK,3116626,060730089011005
4921.088,32.7523604,-117.2043101,ChIJhfutEuSq3oARKbrk94QgX0I,OK,3543134,060730089011005
5619.16,32.793886,-117.1927541,ChIJDQ4c3h4A3IAR51Ekdw-_yu0,OK,4045763,060730089011005
3919.837,32.8085206,-117.1608486,ChIJG5fwZuX_24ARsxKjVnOQVus,OK,2822258,060730089011003
5327.332,32.8197159,-117.175113,ChIJ_Vx77XUA3IARbw4IkV6je_E,OK,3835649,060730089011003
5605.057,32.793886,-117.1927541,ChIJDQ4c3h4A3IAR51Ekdw-_yu0,OK,4035615,060730089011003
3115.818,32.7503616,-117.2132641,ChIJVUdg6_uq3oARYalAmR3orFQ,OK,2243372,060730074005017
